,overall,reviewText,summary,unixReviewTime,reviewerID,reviewerName
79,3,"i love this series, but this entry is not hillerman's best stuff.  i'm not sure if he's running out of steam, or if the life stories of joe leaphorn and jim chee don't allow much development at this point.  the dense subplotting and evocative details about navajo life, so evident in the best leaphorn/chee stories, are mostly missing here.  hillerman seems to have been motivated mainly by a desire to wrap up the jim chee/bernie manuelito relationship, which he does, but not in a particularly original way.  if you are new to this series, try the books written in the 1980's to get a better sense of hillerman's considerable talent; the dark wind is probably the best of the best.","ok, but far from hillerman's best",1052697600,A2VDN6OJOIY74W,B. Sloane
89,3,"not everything i read is an arc ... i'm a pretty dedicated library user as well.

i've long been a fan of the american southwest.  it is one of my favorite places to visit and vacation.  i've also been aware that tony hillerman - a name that any bibliophile should recognize - writes mysteries set in the american southwest.  so why haven't i read his works before this? mostly i think it's because i've only recently developed an affection for the mystery/thriller genre.

although sixteenth in a series, i don't get the impression that reading the previous fifteen books in a necessity to enjoy this.  the reader is likely to understand some of the character relationships that have developed over the course of the series, but the story itself seems to be contained within the covers.

bernadette ""bernie"" manuelito once worked for the tribal police but now is a border patrol/customs officer.  she quickly develops a reputation for herself and while helping out some stranded border-crossers, she is told that a photo of her has been circulating around mexico, identifying her as potentially dangerous and someone the criminals might want to be rid of. she becomes a target when she visits an exotic game ranch which was once a station for a gas pipeline.  unknown to bernie, but figuring it out when he learns she's become a target, is sergeant jim chee, who is madly in love with bernie.  the old pipe lines might be in use to smuggle something in to the country. but knowing what is being smuggled and who is the force (and money) behind the operation, is something that brings even more danger to bernie, chee, and joe leaphorn.

i found this to be pretty standard (and average) mystery/thriller fare. the bad guys were appropriately bad, but they also seemed sort of 'bond' bad - stereotyped bad guys.  wealthy, white, powerful, connected.

i found the set-up really interesting and the regular characters pretty believable and worth following for a couple more books at least, but i was disappointed in the 'resolution' of the story.  i'm not real fond of the deus ex machina  ending or the dumb luck/getting out of a jam because of something or someone completely outside of the protagonists control.

as i say, this was pretty average.  it often felt very dated, not just but how characters were acting, but how they were being portrayed.  i'll read a few more and see how i feel about the series.

looking for a good book?  <em>the sinister pig</em> by tony hillerman is a pretty average mystery set in the american southwest.",a rather average mystery.,1494374400,ARVOX5K5ZJOJR,Daniel
91,3,"the plot and action are fine. tony hillerman certainly can tell a story, and although this one is only on navajo land for a short time as the scene for the murder which opens the book, hillerman does an excellent job of re-setting the scene in southernmost new mexico as officer bernie manueliti leaves the tribal police for a new job with the us border patrol. cowboy dashie and joe leaphorn play their usual solid key roles, a rogue pilot/political henchman adds a great deal to the plot, an evil villain gets what he deserves, but the steady and taciturn jim chee is instead portrayed as a bumbling idiot, especially when facing his feelings for manuelito. all the parts of the plot make sense and intersect nicely, the title fits nicely, but unfortunately there is very little authentic navajo lore to add to the atmosphere. that is usually a highlight in a hillerman novel, and i missed that. i still would have given the book 4 stars, if it weren't for the really weak ""romance"" between chee and manuelito. it never felt real or genuine, and its lame, sobbing 1950s-style resolution should make every female reader shake her head in despair. all mystery lovers and tony hillerman fans expect better from such a skilled author.","3.5 stars - decent plot, horrible ""romance,"" not enough navajo lore",1492214400,A3VTEB4N3JVPYF,retiredandlovinit
101,5,anything tony hillerman wrote is top shelf!,five stars,1459296000,A1IZ5UWI7DK85X,Joanna K D Kincaid
107,3,good background. interesting premise that is believable. my only complaint about all of the hillerman stories is the endings. the hero always has a miraculous escape. you can count on it.,good background. interesting premise that is believable,1441670400,A1WNWXDL5DB6OJ,Richard B. Heagler
108,5,"like all tony hillerman books the story caught you in a web of unanswered questions and great characters. he mixes in a tremendous knowledge of the navajo traditions and spiritual beliefs.you get a story that keeps you guessing, you can't wait to reach the end, but, when you do you wish for much, much more, try one of his 18 navajo mysteries and i think you'll be hooked. enjoy!!",tony hillerman's navajo mysteries areall great!,1436400000,A8Y7VL4GFT3I5,honey badger
109,5,"i have loved reading tiny hillerman novels. the books are a ""you can't put down""  type. hope to read all his books",can't put it down,1432857600,A18BXJ1QUUU67M,Lillian Miera
121,4,"compelling, twisting mystery involving several law entities.  the author skillfully weaves a varied story line of love, drugs, jurisdictional cya and happily ever after's.  believable characters, entertaining and informative dialogue.

i may re-read this book and always look forward to other works by this author.","compelling, twisting mystery",1417996800,A1JMSX54DO3LOP,Bookzilla
124,5,best one i've read so far of hillerman's (#4). i think this might have been his last one.,five stars,1416009600,ADLKZMNMVGA0Y,Grandma Sandy
129,4,awesome reading....the scientific premise around einstein's time distortion makes this a very thought provoking book.,time distortion - good!,1409270400,A2VJ42YOETXTGJ,Haroldoja
133,3,predictably fun to read.,three stars,1408665600,A18A4U7H4MWSP,RIki Blahut
136,2,i don't like hillerman novels.  it was chosen for our book club. .,two stars,1407715200,A1CGSEC9WH69P0,Mary Matthews
138,3,"this novel starts off with navajo tribal police sergeant jim chee finding a corpse in tribal lands near a natural gas field.  the fbi is trying to take over the case, saying that it was a hunting accident.  joining chee on the case is the familiar characters of joe leaphorn and bernadette manuelito.  conspiracies abound, and not surprisingly, the us government aren't necessarily the good guys.

 this is a solid novel, perhaps a little better than some other hillerman novels i have read.  the plot is logical, the writing professional.  the downfall is that nothing really stands out about this novel.  its not the sort of novel that youll remember long after you read it.  its descent enough to pass the time and is a solid read, but not particularly memorable.

carl alves  author of blood street",a solid novel,1407628800,A3MBENSVWGUFRK,Carl Alves
142,3,"once again leaphorn and chee engage in a joint effort to solve a crime, and rescue a damsel in distress! this time, chee finally gets the girl! this tale starts of rather obliquely with the death of an unidentified man seemingly unconnected to the new border patrol job acquired by officer bernie manuelito. the plot unfolds rather rapidly after bernie's picture shows up in some bad places in mexico. actually, the plot unfolds too rapidly and takes away the mystery usually captured in hillerman tales. however, the reader will enjoy an ending that hints of more adventures to come by a new two-some.",mystery and romanace,1406505600,A2XCYD5CI5JUL8,David L. Gjestson
149,5,"moves jim and bernadette along--with some dope dealers.  another ""sinister easterner disturbs hotzo"" yarn, complete with some good bad guys.","wake up, chee!",1402272000,A2OFD4N2V01UJ0,trsmilitaria
154,3,"while most of hillermans joe leaphorn novels rest on a strong sense of place, this one could take place almost anywhere. it also shifts the focus from the retired leaphorn to jim chee and especially bernie manuelito.  i found some of their decisions puzzling, to say the least.

the plot here is also weaker than others. the story rests on a device that i have seen elsewhere, in both film and novels, including a variant in one of the older james bond movies. its not that mysterious, and unfortunately i did not find the denouement at all credible.

still, hillerman knows how to move a story along. its a decent airplane read.","barely a leaphorn story, though it's in new mexico",1396828800,A2ICKSJ6T7WIBO,Arthur Digbee
158,2,"i have read many of the hillerman books and enjoyed them immensely.  the later books, however, were not up to his earlier work, i am sorry to report.  the story gets near the end, and it seems like someone else had to finish the story.",tony missed the mark,1393804800,A2IP27AZB3D1SM,J. A. Drummond
169,3,somewhat simple for those of us used to elizabeth george or le carre.  character are flat; location and native american focus interesting.,not too engaging,1373932800,A1IDOCLKG8RZAQ,Jacqueline Bowen
184,5,"this book came quickly and was in the condition stated. having spent some time with the navajo people, it is refreshing to read a work that gets it right about our native american friends.","great seller, quick shipping.",1321920000,A25TS1GQCVBRRL,Melissa C. Tavis
185,3,"if you're thinking of buying the sinister pig to get your joe leaphorn and jim chee fix, you might want to look for another hillerman novel.  this book centers on chee's new love, officer bernadette manuelito, once a member of the navajo police force.  as the book opens, bernie, as she's called, has transferred to the border patrol.  she's miserable because she misses chee, but he had never told her how he felt about her, so she left . . .  well, it's an old story.

meanwhile, chee is agonizing about her being gone, but doesn't want to pick up the phone and call her or go to see her because she might tell him to get lost or . . .  yeah, an old story.

with this kind of start, a reader might think it's going to be the old saw about the man rescuing his lovely girlfriend, realizing how much he loves her, and they live happily ever after.  well, not quite.

getting to the end of this tale, however, is far from a straight line as hillerman concentrates on one plot point, then another, then another.  it would seem that he heard about how the ""pig"" is used to clean pipelines and decided it would make a good story.  it certainly is the centerpiece of this story.  oh, that and a hit man who . . .  mustn't give that away either.

for all its seeming shortcomings, the sinister pig provides bits of leaphorn and chee for diehard hillerman fans to enjoy and descriptions of new mexico to ponder.  it's short and a quick read, more a novella really, while not fully satisfying, not terribly disappointing either.",and the hero is . . .,1317686400,A39QEKNEFSJ34Q,hrladyship
187,3,"tony hillerman's the sinister pig reads like a half-hearted effort to fulfill a contract, not to tell a good story.
some great threads are inherent, but the unravel instead of weave. the reader is bounced from the border where bernie manuelito is now working to the four corners for a murder. the strongest theme is embezzlement of tribal funds, but here hillerman waxes lightly.
okay, but not his best.
nash black, author of sins of the fathers.",too much and too little,1291852800,AN8C7BGR98HLN,Nash Black
188,3,"the setup
an apparently retired cia agent (gordon stein, aka david slate) is hired by a u.s. senator to investigate how a natural gas pipeline system has been used to cheat native americans in the southwest of $4 billion annually in royalties.  he is murdered on navajo land in the extreme northwestern corner of new mexico.  navajo tribal policeman (sargent) jim chee is assigned to assist the fbi in the investigation.  in the meantime bernadette manualetto has resigned from the tribal police, because she is annoyed with chee for not pursuing her, and has joined (implausibly) the border patrol, and thus is stationed in the extreme southwestern corner of new mexico, along the mexican border.  she observes some odd ""goings-on"" on the large private tuttle ranch on the border.  that's the setup.

comments
earlier novels in the series were very ""economical"", with a few well developed characters, and straightforward filler-free stories.  with the previous novel, ""wailing wind"", and even more-so with the ""sinister pig"". hillerman is (unfortunately?) entering the mainstream of police mystery novels, with dozens of named characters, most throw-away (i.e., that appear on one or two pages, never to be heard from or of again, with no particular significance to the novel); and complex plots.  the stories are no longer about native americans, but rather are about ""white people"" who coincidentally interact somehow with jim chee, et al.  the fascinating expositions on native religion and philosophy is over, except for thin references.  fortunately, hillerman is sufficiently talented to keep up with mainstream mystery writers.  but i, for one, miss the earlier character-centric and native-centric novels.

caveats
the novel is unnecessarily confused by two premises:  1) the first is that pipelines were being used in the rip-off of native american royalties.  that simply makes no sense---the routing of petroleum in pipelines is irrelevant, just as irrelevant as the highways a petroleum tanker truck drives on.  it is in the accounting that any rip-offs of native american royalties could have taken place.  2) the second premise is a cocaine importation scheme.  it looks like these two storylines were intended to converge, but don't.

other evidence of rushed, poorly-edited writing, are redundancies, such as the multiply repeated explaination of the functioning of pipeline pigs.

readers are teased with the promise of a delicious expose of political corruption, then perhaps a scheme by al queda to smuggle nuclear weapons into the u.s., but are finally left with a few sleazy druggies.  certainly, when you start turning over rocks, the slimy creatures you find are not necessarily the ones you were looking for, but, in the final analysis there was no adequate reason for the murder of slate/stein.

moreover, unless i misread the book, the illegal-alien family which bernie rescued had immigrated on rumors that a copper smelter on the u.s. side of the border would be reopened.  (the fictional smelter closely corresponds to the hildalgo smelter, which was closed in 1999.  ironically the company town of playas was purchased by the u.s. government for an anti-terrorism training center).  then the closed smelter is described as being located in mexico, and is the origin from which ""pigs"" are transported to the tuttle ranch on the u.s. side of the border.  huh?

the verdict
a good read in a great series, but unnecessarily confusing.

> click on stoney just below the product title to see my other reviews, or leave a comment to ask a question.", the slimy pig,1260576000,AI0BCEWRE04G0,Stoney
189,3,"i own and have enjoyed all hillerman's previous books, but this one doesn't quite hit the mark. sorry, tony. i can only give it 3 stars.",not his best work,1230854400,A284X2QGD5QYV3,anita
190,3,"among the various detective novelists writing today, tony hillerman occupies a pretty unique position. his series of detective novels, following first the adventures of two different characters, lt. joe leaphorn and sgt. jim chee, in separate books. later, hillerman combined the two characters, and has been chronicling their combined adventures for a good long time now. he's added supporting characters, including a series of girlfriends for chee, a wife who died and then a lady friend for leaphorn, and colleagues like the inimitable cowboy dashee, who's appeared in the background of several of the books.

this latest entry in the series isn't the strongest, but it is interesting. someone's been killed on the reservation, and before anyone can investigate, the fbi shows up and closes down the investigation, announcing the improbably verdict of ""hunting accident"". chee doesn't buy the explanation, and both he and leaphorn take to investigating on their own. meanwhile, a former colleague of theirs, bernadette manuelito, has gone to work for the border patrol. while there, she discovers things which seem to link into the investigation on the reservation that chee and leaphorn are running.

i enjoyed this book well enough. it's not hillerman's best, but it's a good story and reasonably well done.","pretty good, but nothing special",1214352000,A2B1GZIRD6W646,David W. Nicholas
192,2,"i really love hillerman's books.  he is one of my favorite authors.  that said, everyone lets a stinker once in a while, and this is hillermans.  my first impression was that hillerman had gotten so old and feeble that he couldn't write any more.  this impression was later corrected, he's as good as ever. so, if you like hillerman, don't expect much from this one.  if you have not read hillerman, don't start here - please.  he is a very good author and all of this other books are far superior to this one.",don't start with this one!,1199923200,A38K04MT5LR0JC,Pop S
194,2,"the best i can say is the audio book kept me awake on a long drive. the book barely resembles the early hillerman ones i remember, and is sort of a mix of generic crichton-grisham political/crime suspense with a little romance and a little new mexico flavor thrown in for old-times sake.",nothing special,1199145600,APV3V9NAXCPFI,Mike Blyth
196,3,"great, as are all of tony hillerman's navajo stories.  off the reservation and into the modern world.",hillerman off the reservation,1187827200,A19KGMS0Y8LZZP,Lane Aldrich
197,1,"characters you don't care about, exposition instead of action, leaphorn and chee mia for much of the story...this one has it all.  i gave it a generous chance for five chapters, then called it quits because it was uninteresting and uninvolving.

rob schmidt
bluecorncomics.com",worst hillerman mystery ever?,1184371200,A15579Y1NDKSGW,Robert Schmidt
199,1,"i have read most of mr. hillerman's chee/leaphorn books and enjoyed all of them, even the early ones that lacked the depth of his later works, but this book left me cold.  every character of worth hillerman created had to have spot in this book, and many didn't fit well.  this was too contrived to hold interest.",a fall from grace,1167868800,A1JYERR10WFM3O,Carl Koestner
200,3,"as an on-the-mark political rant on the theft of indian oil monies, drug smuggling, failure of the drug laws to reduce drug use, success of drug laws to maintain prices of illegal drugs, poltical influence on and misuse of federal agencies,one won't find better.  both as a novel and as a mystery, this harlequin romance is hillerman's worst.",successful rant; worthless harlequin romance,1165968000,A19GHRM6YUX0HV,Phillip I. Good
201,3,"the ""sinister pig"" in this story is not just a machine used in pipelines.  that would be pretty meaningless to us.  our sinister pig is the story's villain, sinister because he will kill anyone to further his goals, and a pig because, wealthy that he is, he never has enough.

he is a very safe villain.  everybody can hate him.  he's a politically correct villain.  some rich pig who is greedy as can be, and murderous.  what's not to hate?

this was my first hillerman story, so i was not at all familiar with any of the characters.  there isn't one character in this story that i feel compelled to read more about.  i'm not rushing to find another hillerman story.

i didn't read the book.  i listened to the audio book while at work.  i'm always appreciative of someone reading a story to me while i'm stuck at work.  i can't sit behind my desk and read.

the opening of the book is a shocker.  we are introduced to a nearly retired cia agent.  he is, apparently, the star of the book.  but no, he's not.  boom, he's gone.

the rest of the story has to play out without the main character.  it is one of the oddest structured books i've ever come across.  the first character, the one who dominated the first chapter, is gone.  bye.  see ya.  now on to someone else.

and there is no star after him.  there is a handful of co-stars.  i'm not used to that.  this is very unique in that regard.  normally, a story has a star.  this one doesn't.

one drawback with being read to is that we are dependent on the person reading, and we have to listen to him do all the characters.  i don't understand why they don't have a group of people reading, each taking one character.  i'm tired of hearing the guy say ""he said"" over and over.  i'm even more tired of hearing a male voice portray a female character by changing to a really horrible imitation of a female voice.  couldn't they hire a woman to read with him?  we hear the guy talk in a higher voice.  it is very poorly done.  what else is he going to do?  he can't make himself sound anything like a woman.

there is only one interesting character in this story.  he is an employee of the sinister pig.  it falls to him to execute innocent girls.  the story progresses in the most expected way.  i could have written parts of the story line.  it is so obvious.  is this good guy actually going to murder the girls?  somehow i doubt it.  are the good guys going to win in the end?  yeah, i kind of think they will.

so that's the lowdown on this book.  the people who rated it five stars were overrating it, and the people who rated it one star were underrating it, and you've just read the most definitive and accurate review you'll find on this website.",predictable but entertaining enough,1157241600,A1U6B2LDK3BUVU,LF
203,1,"i have read every leaphorn/chee book by hillerman more than once and am a great fan. i just finished this book and discussed it with a friend.. we both agreed it was so disappointing.. we cannot believe it was written by the same person. the writing was awkward and heavy-handed... by the second page i suspected something was wrong here. it reads like some cheap harlequin mystery/romance.

the sensitive handling of navajo spiritual beliefs, the beautiful rendering of the landscape, the terse but meaningful conversations are all missing.

all i can say is, the publishers need to pay more attention to future manuscripts and insure that a writer of tony hillerman's caliber is not allowed to decline in the public eye... he has given us much enjoyment.... he deserves better.

and if someone else is fleshing out hillerman's plot lines.. the public should be warned.",who wrote this?,1133049600,AQWPR35GQAC6A,Wren
204,1,"if tony hillerman wrote this novel (novella actually), i sure can't tell. i have been a chee/leaphorn fan for many years, but this novel is not in the same league with hillerman's other work. it is reminiscent of a 'b' movie. instead of building suspense, the plot is laid out all too plainly, the characters are unreal, and the chee/bernie romance doesn't ring true.  i am amazed that it was published.",who wrote this?  surely not hillerman,1132012800,A1E7G56OX03JKO,Ranch Girl
207,3,"i have enjoyed hillerman's novels for many years.  his strength is writing about the navajo community and making native american culture integral to plot resolution.  it is great when i can enjoy a light mystery novel and feel i have learned something about a culture i am not very familiar with.  i have counted on his accuracy since he seems to have the endorsement of the navajo community to represent their culture in his books.  this book, with emphasis on washington, a few mentions of homeland security and osama bin laden, takes him away from where i perceive his strengths to be.

his characters always seem to lack depth.  they seem to exist to move the plot along.  it would be great if he could write one of these books wherein he explores the inner life of some of his characters in a sustained, deep and meaningful way.",pleasant one day read,1111190400,A2LVI17XQ5EYQ0,Renee Aubuchon
210,3,"it's a little ironic that hillerman made his reputation as a chronicler of din (navajo) characters and culture, but tends to put other tribes in his novels as local color elements. i was interested to see tohono o'odham characters in sinister pig, but disappointed when it became obvious that hillerman knows little or nothing about the o'odham. they're not ""locals"" in the se arizona / new mexico bootheel region any more than navajo or hopi are. he has jim chee think, ""that tribe had its reservation on the mexican border, lapping over into arizona"". jeesh! look at a map, tony: the tohono o'odham reservation, about the size of connecticut, is right smack in arizona southwest of tucson. (lots of o'odham live in sonora, but not on designated reservation land.)

minor point? yes, in terms of the novel overall. no, in terms of hillerman's reputation as an amabassador of native culture to a broader readership.",decorative indians,1105315200,A25CD3NNU10FXA,David Sewell
211,2,"i am a big fan of all mystery and crime novels, so naturally i went out to get this book.  i was sadly disappointed, and almost regret my purchase.  there wasn't the usual umph i feel from his novels.  i do have one spark of good that came out of this.  i took the chance on a new author, i bought her book and loved it.  it was ""waves of deceit"" by marlene de velasco.  i would read that one again over this anyday.",quite disappointed!,1104537600,A2XWOJX3RV4PLW,Marissa Rodriguez
212,1,"i'm a big fan of his, and i have to say that this was a big letdown. it features: stilted dialogue, no character development, no suspense, no description of indian tradition and poor editing.

avoid at all costs.",what happened to hillerman?,1104537600,A2Q3D3CC9HT0S5,BlueDog
213,1,i wouldn't bother with this one.  it is a crashing bore.  hillerman has been on a slide the past few years.  he has reached bottom.,is hillerman losing it ?,1103155200,A4CGCU0FQFKTA,Don V
215,1,"an interesting plot but all of hillerman's strengths, careful delineation of place and characters is absent. any characters from any author could fill the roles. is someone writing for hillerman now? i won't pay money for any further novels by this author until his writing improves.

a shame because his early novels are among my favorites.",his worst in the series.,1102723200,AQ55H30MZSV0Q,J. A. Lefcourte
216,1,"i normally enjoy mr. hillerman's works, and have a collection i like to return to over and over. this one, sadly, went straight into the box to go to the used book store. the editing was so horrible as to be a joke. it makes one wonder if his writing has always been this bad, and some ubereditor has been working magic for all these years, or if he was just under a huge rush to meet contractual obligations and couldn't be bothered to actually write a decent book.

it is also disappointing in that the story could have been exceptional, given a bit of care. this is an important issue to all the tribes, but should be just as important as a history lesson to all americans as an indicator of just how corrupt the american government was in the past, and remains today.

next time, i will take a little trip to the library before i automatically add the next hillerman novel to my collection.",extremely disappointing,1102636800,A1WRXACOKPITBQ,Leiah@soireadthisbooktoday
217,1,"i agree with the reviewer who said 'read the others first'. apart from the great spaces of the american southwest, there's very little that's typically hillerman here. please mr. hillerman, stick with the various amerindian cultures of the region - they're fascinating - give us more interplay & inter-reaction!",rather disappointing,1100217600,A231J4UZ1YEUQ0,A reader
218,3,"i love tony hillerman's books, but this one is a major disappointment. i have always found his descriptions of the navaho culture and the lives of the characters to be very interesting with unique situations that distinguish him from the usual run-of-the-mill mystery writer. substitute the character's names with any anglo or hispanic names, and you would not recognize this as a hillerman book.

i was sorry to see that bernie's character devolve from a strong woman officer to the lady-in-distress rescued by the hero, and eager to become the little woman after all. i was also sorry that jim seems to be losing interest in becoming a healer.

they story was interesting and well written, if a bit of a stretch, but just not what i look for in a hillerman book.",this piggy should stay home,1099008000,A7X1H9HQFGBII,Kindle Customere
219,2,"reading tony hillerman's latest, i was at first thrilled by the congregation of old friends - jim, joe, bernie, cowboy et al - and a return to the delightfully atmospheric four corners.  then not too many pages further, my elation was undermined by a pathetically weak plot, a non-dimensional villan and female victim, and a rush to the totally predictable and maudlin denouemont.  let's hope that tony finds a second wind; these characters and northern new mexico are too good to waste on a comic book story.",a sad falling off,1093478400,A34Y4CN9FADTB7,Daniel N. Copp
220,3,"once again tony lays out another vivid picture of new mexico's enchanting lanscape. but this time the setting is the mysterious and lonely desert area of nm's boot heel.

the characters are there. for the most part it reads like a typical hillerman leaphorn/chee book but with an exception. the story is hurried along after a few chapters. it's like someone was bored and wanted to get the manuscript to the publishers quick and be done with it. all true hillerman fans will read this book but i believe most will feel a bit cheated. it's a very short read even for a hillerman.

the beginning starts out with a perplexing and strange murder to solve but everything is unraveled quickly. i pretty much knew what to expect next from each character. the perfect chance to build suspense and a deep mystery was wasted by letting joe leaphorn solve everything way too quickly. it seems joe only needs a few phone calls and a simple map to solve anything. the usually savy chee and his intellegent cohort gal, now with another agency, are like bafoons relying mostly on the aging legendary leaphorn to figure everything out.

if you're a diehard leaphorn/chee fan like i am, you'll buy the book, even with its dissapointing 'not up to par' story.

if it's your first one in the series, do yourself a huge favor. read the first 15 before taking this one on. otherwise you'll miss out on how good hillerman can really be and might never bother to read the others.","still  love hillerman's charcters & land in spite of ""pig""",1092355200,A3NHI94FA6ME71,D. Kralis
222,2,"i love tony hillerman.  i have read every book he has written including all his chee/leaphorn books, his children's book, his coffee table book, his memoir, his non-fiction books, etc.  i even liked ""finding moon"".  having said this, his last several chee/leaphorn books are delivering a diminishing return of enjoyment.  ""the sinister pig"" is an acceptable novel but without question the worst chee/leaphorn book to date. the books feel particularly strained in how hillerman tries to bring all of the series characters (chee, leaphorn and bernie) together in unlikely and implausible ways despite their natural separation by age, jobs and hundreds of miles.  what i most enjoy about hillerman are his steady pacing, sense of the environment and interweaving of navajo and western culture.  all of this is present in this novel.  what is missing is carefully plotting and crisp dialogue.",hillerman is on auto pilot,1083628800,A3HDLAZUZH8QWF,Louis E. Bridges
223,4,"i've read all his books. i found this a quick enjoyable read. i'll admit the captivating imagery of the 4 corners area that hillerman created in earlier books is missing, but i still liked the book. it drew me in and got me emotionally involved. the story was actually more interesting to me than some of the stories in his more highly regarded books, including some of those which had that magical imagary that this book is missing. if you're a fan, you should read it coz you'll probably like the story.",i enjoyed it more than other reviewers...,1078790400,A1IIGIXBH9NX4J,quietstorm
224,1,"i've read all of hillerman's books, and this one is a major disappointment. it reads like a very rough first draft, a plot sketch. if you pay attention to the bewildering number of characters, the plot plods resolutely forward, no surprises -- and none of the intricate twists that hillerman has dazzled us with in previous books. the characters are thinly developed (so-o-o-o little tension between major love interests) and seldom manage to rise above pot-boiler level. unlike his other books that take place on the reservation, there is no interesting information about native americans, their history, culture, etc. about the only thing this book can claim to do is keep you turning the pages. you keep believing that surely the real tony hillerman will appear to delight you. alas, he's asleep at the wheel. it's a shame to see such a talent settle for so little.
i am one disappointed fan.","is hillerman getting lazy, tired or sick?",1078272000,AJAPKRSNE6YIP,Linda Day
